half_life_days,l2_leaf_reg,seed,f1,threshold,weight_cat_all,weight_cat_recent,weight_lgb_idte,positive_rate,positive_predictions,best_iteration_recency,baseline_cat_all_iteration,baseline_lgb_iteration,timestamp_utc
150,7,777,0.4424202992843201,0.536,0.4,0.4,0.2,0.23048464668886423,1869,292,200,15,2026-08-13T16:25:13.636011+00:00
150,7,2027,0.44141512495942875,0.5640000000000001,0.5,0.4,0.1,0.2313478850659761,1876,295,200,15,2026-08-13T16:25:26.709199+00:00
150,7,1337,0.43966323666978485,0.49200000000000005,0.2,0.5,0.3,0.2468861758539894,2002,229,200,15,2026-08-13T16:25:37.983304+00:00
150,9,42,0.4438484746899095,0.54,0.30000000000000004,0.5,0.2,0.21926254778641016,1778,247,200,15,2026-08-13T16:25:49.554530+00:00
150,9,2026,0.4397609311104121,0.524,0.4,0.4,0.2,0.243433222345542,1974,262,200,15,2026-08-13T16:26:01.496466+00:00
150,9,777,0.4437236457995459,0.5960000000000001,0.0,0.9999999999999999,0.0,0.23159452460229374,1878,313,200,15,2026-08-13T16:26:14.812189+00:00
150,9,2027,0.44459644322845415,0.444,0.0,0.5,0.5,0.21198668146503885,1719,382,200,15,2026-08-13T16:26:30.049628+00:00
150,9,1337,0.4456339913014386,0.6040000000000001,0.2,0.7999999999999999,0.0,0.22000246639536317,1784,340,200,15,2026-08-13T16:26:43.986353+00:00
165,3,42,0.43998746474459416,0.56,0.30000000000000004,0.6,0.1,0.24491305956344803,1986,197,200,15,2026-08-13T16:26:54.126934+00:00
165,3,2026,0.44146159582401195,0.5720000000000001,0.0,0.7999999999999999,0.2,0.18214329757060058,1477,237,200,15,2026-08-13T16:27:05.497246+00:00
165,3,777,0.44369521240728255,0.5720000000000001,0.0,0.8999999999999999,0.1,0.21716611172770994,1761,335,200,15,2026-08-13T16:27:19.287195+00:00
165,3,2027,0.43847874720357943,0.49600000000000005,0.30000000000000004,0.4,0.3,0.23726723393760019,1924,284,200,15,2026-08-13T16:27:31.688897+00:00
165,3,1337,0.4403111261413595,0.5720000000000001,0.4,0.5,0.1,0.21605623381428044,1752,274,200,15,2026-08-13T16:27:43.899534+00:00
165,5,42,0.44692737430167595,0.468,0.0,0.6,0.4,0.22666173387594032,1838,305,200,15,2026-08-13T16:27:56.931130+00:00
165,5,2026,0.445019404915912,0.532,0.4,0.4,0.2,0.23270440251572327,1887,241,200,15,2026-08-13T16:28:08.195651+00:00
165,5,777,0.4411764705882353,0.5960000000000001,0.4,0.6,0.0,0.22875816993464052,1855,262,200,15,2026-08-13T16:28:20.146522+00:00
165,5,2027,0.4425531914893617,0.5640000000000001,0.5,0.4,0.1,0.22814157109384633,1850,284,200,15,2026-08-13T16:28:32.641120+00:00
165,5,1337,0.44328552803129073,0.6000000000000001,0.4,0.6,0.0,0.2297447280799112,1863,260,200,15,2026-08-13T16:28:44.470163+00:00
165,7,42,0.44191919191919193,0.49600000000000005,0.0,0.7,0.3,0.2420767048957948,1963,270,200,15,2026-08-13T16:28:56.771742+00:00
165,7,2026,0.4424552429667519,0.46,0.2,0.4,0.4,0.23714391416944136,1923,338,200,15,2026-08-13T16:29:11.016829+00:00
165,7,777,0.4420103092783505,0.56,0.5,0.4,0.1,0.2341842397336293,1899,292,200,15,2026-08-13T16:29:23.677725+00:00
165,7,2027,0.44025974025974024,0.532,0.4,0.4,0.2,0.23122456529781724,1875,266,200,15,2026-08-13T16:29:35.775355+00:00
165,7,1337,0.4439532680770445,0.528,0.4,0.4,0.2,0.24195338512763595,1962,226,200,15,2026-08-13T16:29:46.731875+00:00
165,9,42,0.4392879847425302,0.56,0.5,0.4,0.1,0.2393636699963004,1941,232,200,15,2026-08-13T16:29:58.130143+00:00
165,9,2026,0.43984220907297833,0.5640000000000001,0.5,0.4,0.1,0.22653841410778147,1837,327,200,15,2026-08-13T16:30:11.824766+00:00
165,9,777,0.440419447092469,0.56,0.5,0.4,0.1,0.23948698976445923,1942,318,200,15,2026-08-13T16:30:25.259732+00:00
165,9,2027,0.4403436207445116,0.524,0.4,0.4,0.2,0.2389937106918239,1938,299,200,15,2026-08-13T16:30:38.132315+00:00
165,9,1337,0.4438166980539862,0.46,0.0,0.6,0.4,0.24429646072265385,1981,278,200,15,2026-08-13T16:30:50.448430+00:00
180,3,42,0.442495126705653,0.56,0.2,0.7,0.1,0.23097792576149956,1873,260,200,15,2026-08-13T16:31:02.297358+00:00
180,3,2026,0.44204322200392926,0.536,0.4,0.4,0.2,0.2280182513256875,1849,196,200,15,2026-08-13T16:31:12.583716+00:00
180,3,777,0.4416,0.56,0.5,0.4,0.1,0.23677395486496486,1920,253,200,15,2026-08-13T16:31:24.279051+00:00
180,3,2027,0.44710860366713684,0.5800000000000001,0.0,0.8999999999999999,0.1,0.20113454186706128,1631,288,200,15,2026-08-13T16:31:36.911164+00:00
180,3,1337,0.44408427876823336,0.5680000000000001,0.2,0.7,0.1,0.23184116413861142,1880,217,200,15,2026-08-13T16:31:47.635470+00:00
180,5,42,0.4396103896103896,0.5640000000000001,0.4,0.5,0.1,0.23122456529781724,1875,266,200,15,2026-08-13T16:31:59.758042+00:00
180,5,2026,0.4430299172501591,0.528,0.4,0.4,0.2,0.23887039092366508,1937,232,200,15,2026-08-13T16:32:10.804146+00:00
180,5,777,0.4434589800443459,0.524,0.30000000000000004,0.5,0.2,0.2407201874460476,1952,312,200,15,2026-08-13T16:32:24.060174+00:00
180,5,2027,0.44047239067985955,0.5,0.2,0.5,0.3,0.23776051301023554,1928,181,200,15,2026-08-13T16:32:33.901326+00:00
180,5,1337,0.4413793103448276,0.532,0.4,0.4,0.2,0.22690837341225797,1840,296,200,15,2026-08-13T16:32:46.589992+00:00
180,7,42,0.4426011944260119,0.6080000000000001,0.1,0.8999999999999999,0.0,0.22308546059933407,1809,297,200,15,2026-08-13T16:32:59.484797+00:00
180,7,2026,0.43983402489626555,0.524,0.4,0.4,0.2,0.23776051301023554,1928,304,200,15,2026-08-13T16:33:12.493986+00:00
180,7,777,0.440426218921537,0.532,0.4,0.4,0.2,0.23332100135651745,1892,234,200,15,2026-08-13T16:33:23.688788+00:00
180,7,2027,0.440989847715736,0.528,0.1,0.7,0.2,0.2401035886052534,1947,286,200,15,2026-08-13T16:33:36.368444+00:00
180,7,1337,0.4407431133888533,0.5640000000000001,0.4,0.5,0.1,0.23640399556048836,1917,206,200,15,2026-08-13T16:33:46.782387+00:00
180,9,42,0.44134802333117307,0.56,0.1,0.7999999999999999,0.1,0.23196448390677027,1881,369,200,15,2026-08-13T16:34:01.548032+00:00
180,9,2026,0.43920829406220546,0.556,0.30000000000000004,0.6,0.1,0.24392650141817734,1978,320,200,15,2026-08-13T16:34:15.237562+00:00
180,9,777,0.44094993581514763,0.532,0.4,0.4,0.2,0.23566407695153532,1911,236,200,15,2026-08-13T16:34:26.558350+00:00
180,9,2027,0.44202434336963486,0.56,0.5,0.4,0.1,0.23640399556048836,1917,285,200,15,2026-08-13T16:34:39.026949+00:00
180,9,1337,0.44524590163934424,0.5640000000000001,0.4,0.5,0.1,0.22752497225305215,1845,326,200,15,2026-08-13T16:34:52.614922+00:00
